Basic Information,,,,,
Name,ZJXU-MHRVD,,,,
Institution,Jiaxing University,,,,
Release Year,2025,,,,
License,,,,,
Data Access Link,https://github.com/ZJXU-MHRVD/ZJXU-MHRVD-Dataset,,,,
,,,,,
,,,,,
Data Content,,,,,
Modality Types,ECG,PPG,BCG,Video,
Data Scale,136 subjects in total,Total duration >800 minutes,Total storage space 8.36TB,,
Collection Scenario,Resting,Talking,,,
,,,,,
Data Content Format,,,,,
Modality Type,ECG,,,,
File Name,ECG_EEG_RSP.csv,,,,
Sampling Rate,2000Hz,,,,
Sensor Model,BIOPAC MP160,,,,
File Content (Columns),"RSP, X, RSPEC-R","EEG B, Y, EEG2-R","ECG, X, RSPEC-R",,
,Chest Strap,Electroencephalogram,Electrocardiogram,,
,,,,,
Modality Type,PPG,,,,
File Name,ppg.csv,,,,
Sampling Rate,50Hz,,,,
Sensor Model,Medrui KS-CM01,,,,
File Content (Columns),time,ppg,spo2,pr,pi
,Timestamp,Photoplethysmography,Blood Oxygen Saturation,PR Interval,Perfusion Index
,,,,,
Modality Type,BCG,,,,
File Name,bcg.csv,,,,
Sampling Rate,500Hz,,,,
Sensor Model,DARMA,,,,
File Content (Columns),time,raw,bcg,respiration_rate,heart_rate
,Timestamp,Raw Data,Filtered Data,Reference Respiration Rate,Reference Heart Rate
,,,,,
Modality Type,Video,,,,
File Name,usb_camera.avi,,,,
Sampling Rate,30Hz,,,,
Sensor Model,Logitech C920 PRO,,,,
File Content,181-second video,,,,
,,,,,
Modality Type,Blood Pressure,,,,
File Name,bp-temp.txt(only in folder 'talk'),,,,
Sensor Model,OMRON U725A,,,,
File Content,start,Systolic,Diastolic,Pulse,
,end,Systolic,Diastolic,Pulse,
,,,,,
Abnormal Data,File Name,Abnomaly Type,,,
s54_talk,usb_camera.avi,Corrupted Video File,,,
s69_talk,ppg.csv,Missing,,,
s73,ppg.csv,Missing,,,
s73,ECG_EEG_RSP.csv,Missing,,,
s73_talk,usb_camera.avi,Corrupted Video File,,,
